pupilId,subscription_type,subscription_start_date,subscription_end_date,codeCountry
999119,Monthly,2016-02-24,2016-03-24,GBR
999119,Monthly,2016-03-24,2016-04-24,GBR
999119,Monthly,2016-04-24,2016-05-24,GBR
999126,Annual,2016-02-06,2017-02-06,GBR
999126,Annual,2017-02-06,2018-02-06,GBR
999131,Monthly,2016-01-16,2016-02-16,GBR
999131,Monthly,2016-02-16,2016-03-16,GBR
999131,Monthly,2016-03-16,2016-04-16,GBR
999131,Monthly,2016-04-16,2016-05-16,GBR
999131,Monthly,2016-05-16,2016-06-16,GBR
999131,Monthly,2016-06-16,2016-07-16,GBR
999131,Monthly,2016-07-16,2016-08-16,GBR
999131,Monthly,2016-08-16,2016-09-16,GBR
999131,Monthly,2016-09-16,2016-10-16,GBR
999131,Monthly,2016-10-16,2016-11-16,GBR
999139,Annual,2016-01-16,2017-01-16,GBR
999142,Annual,2016-01-18,2017-01-18,GBR
999144,Annual,2016-01-17,2017-01-17,GBR
999151,Annual,2016-01-20,2017-01-20,GBR
999173,Monthly,2016-07-12,2016-08-12,GBR
999173,Monthly,2016-08-12,2016-09-12,GBR
999173,Monthly,2016-09-12,2016-10-12,GBR
999173,Monthly,2016-10-12,2016-11-12,GBR
999173,Monthly,2016-11-12,2016-12-12,GBR
999173,Monthly,2016-12-12,2017-01-12,GBR
999173,Monthly,2017-01-12,2017-02-12,GBR
999173,Monthly,2017-02-12,2017-03-12,GBR
999173,Monthly,2017-03-12,2017-04-12,GBR
999173,Monthly,2017-04-12,2017-05-12,GBR
999173,Monthly,2017-05-12,2017-06-12,GBR
999173,Monthly,2017-07-15,2017-08-15,GBR
999173,Monthly,2017-08-15,2017-09-15,GBR
999173,Monthly,2017-09-15,2017-10-15,GBR
999173,Monthly,2017-10-15,2017-11-15,GBR
999173,Monthly,2017-11-15,2017-12-15,GBR
999173,Monthly,2017-12-15,2018-01-15,GBR
999173,Monthly,2018-01-15,2018-02-15,GBR
999179,Annual,2016-02-22,2017-02-22,GBR
999179,Annual,2017-02-22,2018-02-22,GBR
999185,Annual,2016-02-27,2017-02-27,GBR
999187,Monthly,2016-02-29,2016-03-29,GBR
999187,Monthly,2016-03-29,2016-04-29,GBR
999187,Monthly,2016-04-29,2016-05-29,GBR
999187,Monthly,2016-05-29,2016-06-29,GBR
999187,Monthly,2017-01-29,2017-02-28,GBR
999187,Monthly,2017-02-28,2017-03-28,GBR
999187,Monthly,2017-03-28,2017-04-28,GBR
999187,Monthly,2017-04-28,2017-05-28,GBR
999261,Annual,2016-01-29,2017-01-29,GBR
999261,Annual,2017-01-29,2018-01-29,GBR
999261,Annual,2018-01-29,2019-01-29,GBR
999263,Monthly,2016-01-31,2016-02-29,GBR
999263,Monthly,2016-02-29,2016-03-29,GBR
999263,Monthly,2016-03-29,2016-04-29,GBR
999263,Monthly,2016-04-29,2016-05-29,GBR
999263,Monthly,2016-05-29,2016-06-29,GBR
999263,Monthly,2016-06-29,2016-07-29,GBR
999263,Monthly,2016-07-29,2016-08-29,GBR
999263,Monthly,2016-08-29,2016-09-29,GBR
999263,Monthly,2016-09-29,2016-10-29,GBR
999263,Monthly,2016-10-29,2016-11-29,GBR
999263,Monthly,2016-11-29,2016-12-29,GBR
999263,Monthly,2016-12-29,2017-01-29,GBR
999263,Monthly,2017-01-29,2017-02-28,GBR
999263,Monthly,2017-02-28,2017-03-28,GBR
999263,Monthly,2017-03-28,2017-04-28,GBR
999263,Monthly,2017-04-28,2017-05-28,GBR
999263,Monthly,2017-05-28,2017-06-28,GBR
999263,Monthly,2017-06-28,2017-07-28,GBR
999269,Annual,2016-02-01,2017-02-01,GBR
999269,Annual,2017-02-01,2018-02-01,GBR
